10/17/01 	17/10/2001 
roca 	rocan 
apologise 	excuse 
belisle 	bélisle 
boxes 	tables 
long-standing 	long-term 
icelanders 	icelandic 
acid-catalyzed 	catalyzed 
concerns 	preoccupations 
synchronizing 	syncing 
calamitous 	disastrous 
asher 	usher 
anyhow 	anyway 
candidly 	frankly 
bands 	stripes 
boss 	chief 
automated 	computerized 
ece 	stes 
mme 	ms. 
overestimate 	overstatement 
- dave 	dave 
publish 	publishes 
sahraoui 	sahrawi 
achraf 	ashraf 
difficult 	difficulties 
abondance 	abundance 
666 	666th 
non-compliance 	non-compliance-related 
farm 	granja 
self-reliance 	self-reliant 
assumptions 	suppositions 
evidence 	test 
freezing 	frozen 
airfield 	airstrip 
negative 	negatives 
allows 	authorizes 
degenerative 	neurodegenerative 
benchmark 	benchmarks 
boni 	bonus 
katif 	khatif 
detects 	discovers 
crafty 	ingenious 
coruna 	empoli 
rates 	tariffs 
discrimination 	distinction 
ebi 	ibe 
emn 	mnes 
gsc 	psg 
1,075 	1075 
loathsome 	odious 
acb 	hwp 
epp 	ppe-de 
manliness 	virility 
coast 	shore 
comprehensive 	integrated 
colombie-britannique 	columbia 
fly 	smee 
estonian 	estonians 
occupied 	occupying 
noor 	nurul 
geographic 	geography 
centimetres 	inches 
08-11 	08-14 
pines 	pins 
appearance 	aspect 
disposal 	phase-out 
canteen 	gourd 
family-based 	family-centred 
hashimoto 	ryutaro 
alarm 	alert 
2000/22 	2002/22 
ampa 	apma 
decentralized 	devolved 
collector 	collectors 
morality 	morals 
msdss 	sfs 
breakdown 	distribution 
re-entry 	readmission 
15.7 	39.9 
guarantee 	guarantees 
rayan 	ryan 
appraiser 	reviewer 
counterfoil 	heel 
gillmore 	gilmore 
de-legitimize 	delegitimise 
al-qaddafi 	kadhafi 
epr 	isse 
auditory 	hearing 
.12 	0.12 
u.s.-backed 	us-supported 
flyer 	flywheel 
30.0 	59.09 
- alex 	alex 
forbears 	refrains 
renowned 	well-known 
20.40 	2040 
flor 	fluor 
41448 	42929 
well-guarded 	well-kept 
- uncle 	uncle 
cho 	jo 
elchin 	shein 
min 	minutes 
sediments 	sédiments 
elevator 	olis 
albums 	scrapbooks 
disparity 	inequality 
war-shattered 	war-torn 
breast-milk 	breastmilk 
elias 	ilias 
suited 	tailored 
pre-defined 	preset 
administration 	trustees 
atar 	uttar 
pilot 	pilote 
disgust 	revulsion 
1,54 	3.39 
fiducie 	trust 
decomposing 	decomposition 
hudna 	truce 
mbs 	mbss 
past 	recent 
csic 	iccs 
suggestion 	tip 
escaping 	fleeing 
lidia 	lydia 
speed 	speeds 
timelines 	timetables 
jawzjan 	takhar 
gissin 	jessen 
clicker 	detonator 
navigation 	waterway 
n.w.t 	n.w.t. 
unbis 	unbisnet 
replica 	replication 
al-hadid 	iron 
cer 	recs 
developers 	programmers 
down 	downstairs 
rebuilding 	reconstructing 
qualitative 	qualitatively 
csb 	dsm 
masterpieces 	masterworks 
gfa 	sbp 
1999/222 	2002/222 
amend 	amendment 
mollusc 	mollusks 
boards 	motherboards 
keying 	perforation 
differences 	disputes 
engagements 	recruitments 
knots 	kts 
elongation 	lengthening 
1991-1992 	91-92 
collaboration 	partnership 
al-qassam 	qasam 
multifunction 	multifunctional 
polacco 	polish 
definitely 	surely 
define 	defines 
51/189 	56/189 
fighter 	fighters 
shab ' a 	shebaa 
fills 	populates 
familial 	family 
disinfectant 	disinfection 
furnishing 	furnishings 
huseynov 	hüseynov 
mount 	mountain 
rackets 	snowshoes 
dearth 	scarcity 
all 	everyone 
compliance 	conformance 
amelie 	emily 
feature 	role 
gipsy 	gypsy 
pandering 	procuration 
halted 	stopped 
biennial 	biennium 
efs 	esf 
cdc 	kdc 
apparently 	evidently 
sequestering 	sequestration 
maximum 	peak 
patchwork 	tile 
ranges 	scales 
17e 	17th 
sino-albanian 	sino-argentina 
thank 	thanked 
prospecting 	prospection 
pursuit 	search 
scale 	scales 
supported 	sustained 
patients 	sufferers 
bagel 	doughnut 
jessie 	jessle 
place-names 	toponyms 
bath 	bathroom 
court 	tribunals 
decides 	resolves 
aquatic 	aquatique 
decode 	decoder 
booklets 	carnets 
chairholders 	chairs 
cocoon 	pod 
albanese 	albanian 
ats 	schillings 
correctional 	prison 
lucerne 	luzern 
policymakers 	politicians 
chloride 	chlorine 
shapeshifter 	shifter 
definitely 	undoubtedly 
bi-lateral 	bilateral 
disorganised 	disorganized 
multi-function 	multifunctional 
kean 	ken 
20.30 	8:30 
makers 	manufacturers 
assigns 	attaches 
87 	eighty-seven 
ouane 	oun 
abstain 	abstention 
faked 	pretended 
barrister 	lawyer 
leaders 	leaderships 
donor 	licensor 
reach 	scope 
isla 	island 
chuan 	chuen 
edcs 	modulators 
seafood 	shellfish 
outlying 	remote 
unduly 	wrongly 
cers 	cwn 
drugs 	medicine 
ads 	commercials 
alqaeda 	qaeda 
ocs 	sco 
earphones 	headsets 
sores 	ulcers 
beak 	parrot 
complete 	total 
high 	upper 
amm 	wma 
competencies 	expertise 
detriment 	disadvantage 
solayman 	sulaiman 
al-rantissi 	al-rintisi 
biological 	biology 
moustapha 	mustafa 
coast 	rib 
conscription 	recruitment 
economizer 	saver 
incumbent 	proprietor 
seal 	stamp 
decouple 	unlink 
buka 	kotorska 
cde 	ece 
immediate 	prompt 
iii.b 	iii.b . 
aggressions 	assaults 
femme 	woman 
0810 	8.10 
birth 	born 
expo 	exposition 
damn 	fuck 
barons 	magnates 
artes 	arts 
babe 	darling 
lupin 	lupinus 
aeronautics 	aviation 
add .3 	add .3 . 
802.11 	802.11 a 
cras 	ncas 
spectra 	spectral 
eaton 	parade 
items 	themes 
wilt 	wither 
cross-cutting 	cross-sector 
repertoire 	répertoire 
dga 	dlm 
chairman-in-office 	chairman-in-ofﬁce 
motaki 	muttaqi 
award 	scholarship 
1830 	6.30 
bureaucracy 	bureaucratism 
china-europe 	sino-eu 
pledge 	probie 
ccra-adrc . gc.ca 	cra-arc . gc.ca 
politburo 	zanu-pf 
demonstrations 	events 
nsr 	rsn 
sahara 	sáhara 
burg 	schlaining 
cvr 	rbaf 
nasiriya 	nassiriyah 
booklet 	libretto 
mundane 	trivial 
alu 	utm 
explodes 	explosion 
14,30 	14.30 
sub-elements 	subcomponents 
fallowing 	summerfallow 
pre-fabricated 	precast 
form 	way 
regrettable 	sad 
commonly 	frequently 
groundless 	ill-founded 
17 	5:00 
cross-pillar 	inter-pillar 
quakes 	tremors 
dualist 	two-tier 
chien-ming 	jianmin 
logic 	rationale 
wine-growing 	wine-making 
piano 	plan 
bound 	related 
frequent 	recurrent 
re-enactments 	replenishments 
communicable 	transferable 
c. 12 	c. 12/1 
evidence 	tests 
zinc 	zn 
' études 	studies 
learners 	students 
self-sustaining 	self-sustainment 
ragged 	shredded 
leg 	legs 
partisans 	supporters 
broker 	stockbroker 
mental 	psychotropic 
2007-11-19 	2007-11-23 
issues 	points 
gsb 	p-3b 
checked-out 	unprotected 
15.25 	1525 
enforcement 	execution 
riven 	torn 
reestablishes 	resets 
avert 	prevent 
api 	api . 
casa 	house 
famille 	family 
multiculturalism 	multiculturalisme 
sons 	yarns 
adolescents 	teen 
605 	605th 
hdi 	hri 
documentation 	records 
ipl 	lpi 
slava 	slavic 
herbivore 	herbivory 
clerc 	cleric 
aspects 	points 
approach 	attitude 
disturbing 	unsettling 
samodra 	samudera 
cfos 	cif 
careless 	negligent 
abizaid 	abuzed 
icu 	uti 
demons 	warlocks 
immunizations 	vaccines 
jabaliya 	jibalia 
l.n. 	s.n.b. 
cousins 	couz 
main 	senior 
extractor 	remover 
nasseri 	nasserite 
broadcasters 	diffuseurs 
78.3 	783 
h. 	h.suspended 
band-aids 	bandages 
food 	foodstuff 
www.unece . 	www.unece.org 
men-servants 	servants 
beautiful 	fine 
periodic 	periodically 
2002/36 	2003/36 
broadcaster 	communicator 
alters 	amends 
adjacent 	nearby 
ex-quota 	over-quota 
birdie 	sparrow 
boi 	ior 
savoie 	savoy 
stair 	staircase 
expectant 	pregnant 
trashy 	vulgar 
admission 	admittance 
died 	killed 
oresund 	øresund 
org 	unescap.org 
bill 	draft 
decline 	downturn 
radiograph 	x-ray 
denied 	dismissed 
nso 	nsos 
lms 	usg 
chills 	shivers 
besides 	moreover 
save 	saved 
detection 	screening 
fairs 	shows 
buckled 	unbuckled 
marcus 	markus 
33 	33rd 
39.1 	391 
grp 	prm 
flavourings 	scents 
imprimerie 	printing 
nabatieh 	nabatiyeh 
exhibitors 	superscripts 
cme 	wce 
750 	le750 
beni 	benny 
12:00 pm 	1:00 pm 
non-eu 	non-european 
anti-terrorism 	counterterrorism 
energetic 	vigorous 
ezzeddin 	ezzedin 
crh 	hra 
mahmud 	mehmood 
ldn 	lon 
decisions 	determinations 
hotter 	warmest 
domingo 	sunday 
al-sabah 	assabah 
norm 	rule 
governed 	ruled 
108 	801 
assessment 	evaluate 
reconsider 	revisit 
2.85 	285 
industrial 	industrialised 
52 	c. 5/52 
la 	the 
correlations 	inter-linkages 
19-23 	19.23 
decent 	worthy 
re-type 	rewrite 
chiao 	jiao 
employment 	labor 
change 	modification 
patience 	patient 
laments 	mourns 
15.8 	15.80 
extinction 	termination 
operates 	works 
anti-discrimination 	non-discrimination 
ecdysis 	moult 
document 	documento 
agitator 	shaker 
calle 	street 
living 	subsistence 
condemn 	convict 
fluoroscopic 	x-ray 
nain 	woolly-heads 
streamlined 	streamlining 
mob 	slc 
amendment 	change 
sandlot 	wasteland 
outweighs 	overrides 
emphatically 	strongly 
co 	co . 
muhammad 	muhammed 
ancestor 	forerunner 
fixing 	setting 
54/732 	732 
wrongfully 	wrongly 
` exception 	exception 
mc 	mcs 
base 	foundation 
outrageous 	shocking 
al-sahaaf 	sahhaf 
mahbubani 	valdivieso 
text 	version 
explicit 	explicitly 
realistic 	unrealistic 
belarusian 	belarusians 
exceptional 	unique 
multi-ethnic 	pluri-ethnic 
azaiez 	aziz 
abo 	abu 
linewidths 	widths 
clarify 	elucidate 
pharmacosurveillance 	pharmacovigilence 
platforms 	rigs 
criminal 	criminals 
rock 	stone 
carlisle 	carlyle 
impetus 	stimulus 
belly 	womb 
city 	shing 
blend 	mixing 
fe 	fide 
tape 	tape - 
grouted 	injected 
medium - 	medium-term 
circular 	pie 
disqualification 	recusal 
1,600 	1.6 
across 	through 
essential 	imperative 
acm 	mff 
clammy 	sweaty 
iab 	jrc 
top 	upper 
centralisation 	centralising 
maternal 	mother 
replace 	replaces 
publica 	publishes 
cross-government 	whole-of-government 
mute 	silence 
co-management 	codetermination 
larceny 	theft 
over-enthusiastic 	overzealous 
department 	departments 
ili 	yili 
ncw 	rbm 
4.75 	75.4 
68th 	sixty-eighth 
gni 	gnp 
drastic 	drastically 
explore 	explores 
gsc 	oms 
cml 	smc 
gis 	wis 
headdress 	headwear 
engineering 	works 
jumpers 	puentes 
handbags 	purses 
11.7 	7,11 
resettle 	resettlement 
moths 	yucca 
westminister 	westminster 
multiplies 	multiply 
clefts 	slits 
esp 	pesetas 
diouf 	guests 
goals 	objective 
transnacional 	transnational 
tables 	tabulations 
olive 	zaitun 
2000/264 	2001/264 
agha 	al-agha 
hairdressers 	hairstylists 
horsepower 	hp 
	± 
3rd 	3ª 
detachment 	détachement 
kabbah 	kubbah 
alpine 	downhill 
senior 	superior 
nafaa 	nafie 
yousif 	yussef 
post-doctoral 	post-phd 
deposition 	filings 
addiction 	habituation 
coward 	drop 
sc-gso 	sce 
indicateurs 	indicators 
301 	a.m. 1 
epr 	rpa 
carew 	karo 
cis 	eci 
consumption 	exertion 
plan 	planning 
n.y.p.d. 	nypd 
invite 	invited 
predicting 	prediction 
multi-confessional 	multireligious 
support 	supportive 
re-emergence 	reemergence 
interacts 	interoperates 
inaccessible 	unattainable 
isp 	sif 
jetties 	piers 
aisle 	driveway 
rating 	symbol 
unanticipated 	unintended 
collective 	mass 
andrei 	andrejs 
daycare 	garderie 
takeshi 	takeuchi 
harmonious 	smooth 
coombe 	gan 
bid 	tender 
melee 	scrimmage 
2004-2007 	20042007 
french-speaking 	frenchspeaking 
basis 	core 
24-27 	24.27 
ainu 	ueno 
all 	everything 
environment 	environments 
eqf 	jrp 
mats 	rugs 
commotion 	concussion 
claimants 	providers 
collisions 	crashes 
danger 	peril 
outlaw 	proscribe 
sulphide 	sulphidic 
reject 	rejecting 
ath 	atrs 
solyman 	sulaiman 
55.5 	5550 
borin 	burin 
dnr 	npr 
e.p. 	p.e. 
l. 93 	l. 94 
ecdysis 	molting 
navigating 	navigation 
activate 	activating 
karel 	karl 
seminaries 	seminars 
immersion 	submersion 
intermittent 	sporadic 
clear-sightedness 	perceptiveness 
dmf 	mmf 
analysis 	analyzes 
watermelon 	watermelons 
cowardly 	laf 
itching 	itchy 
multi-layered 	multi-storey 
def 	defogger 
crf 	treasury 
1910 	1910s 
93/42 	93/43 
littoral 	nearshore 
g-4 	g4 
pride 	proud 
al-raziq 	razeq 
beep 	gdp 
.12 	0,12 
2000/209 	2002/209 
28.7 	7,82 
clandestine 	underground 
arousal 	excitation 
ourselves 	us 
• 	◦ 
abandoned 	derelict 
ex-1 	ex1 
sc 	ts 
late 	later 
clogging 	plugging 
simplifies 	simplify 
buy 	purchasing 
ventilated 	ventilating 
0p8 	0r2 
cents 	cents 
plp 	ppl 
land-owners 	landowners 
abp 	psa 
alhaji 	haj 
bullshit 	horseshit 
place 	site 
4-core 	quad-core 
agr 	gra 
belem 	belen 
fuckingdepressing 	moping 
a.i. 	interim 
double-decked 	two-tier 
person-years 	pys 
controller 	handler 
part 	role 
displacement 	scrolling 
employee 	worker 
gal 	lags 
self-confidence 	self-esteem 
general 	public 
guideline 	guidelines 
ju 	zhu 
crackdown 	suppression 
- dix 	- ten 
subject 	submitted 
2005-05-17 	2005-08-31 
drip 	perf 
overflight 	overflying 
envi-press 	press-en 
uzbek 	uzbekistani 
communications 	telecommunications 
hcfcs 	hydrochlorofluorocarbons 
brief 	concise 
advisory 	consultation 
brokers 	courtiers 
72nd 	seventy-second 
retrainees 	trainees 
repairs 	reparation 
` imprimerie 	imprimerie 
dap 	wtp 
tone 	tono 
recorder 	registrar 
faithfully 	loyally 
grateful 	recognizing 
turkmani 	turkoman 
early 	soon 
appalling 	atrocious 
bright 	brightness 
cao 	cho 
break 	hop 
strong 	strongly 
1900 	1900s 
54 	fifty-four 
c.c. 	dc 
baya 	paya 
pay 	payroll 
sediment 	sedimentation 
ohchr 	unhchr 
schulz 	schulze 
apron 	decking 
rtp 	wi 
high-tension 	high-voltage 
alba 	elba 
gpos 	obfm 
dimensions 	sizes 
2005-01-04 	2005-01-06 
devotees 	worshippers 
comer 	eat 
noec 	noels 
mahathir 	muhader 
bitterness 	resentment 
questioned 	wondered 
patriarch 	patriarchate 
cas 	cbs 
4/41 	7/2 
2004-10-01 	2006-05-23 
prejudge 	prejudice 
skeleton 	skeletor 
antiquated 	archaic 
bonnie 	bunye 
guides 	roadmaps 
squirts 	syringes 
cases 	event 
solari-yrigoyen 	yrigoyen 
ramel 	rammell 
benchmarks 	parameters 
vulnerabilities 	weaknesses 
brownie 	leprechaun 
size 	waist 
relentless 	unremitting 
aide-memoire 	checklist 
adherents 	supporters 
bug 	glitch 
gtm 	rou 
negligence 	negligent 
ied 	ieds 
acknowledgment 	recognition 
low-tar 	mild 
leavers 	outgoing 
cabin 	stateroom 
kb 	kilobytes 
achieving 	reaching 
renationalise 	renationalize 
020 	3,020 
research-intensive 	research-oriented 
inspecting 	inspects 
bisd 	idb 
disaggregation 	ventilation 
macneil 	mcneil 
tvb 	wireless 
details 	specifics 
3.32 	3.64 
bullets 	slugs 
145 	145125 
fair 	loyal 
earnings 	remuneration 
alternative 	option 
lcol 	lieutenant-colonel 
thank 	thanks 
doctor 	doctors 
respond 	response 
feature-packed 	full-featured 
eissa 	essa 
links 	relationships 
disconnecting 	disconnection 
entails 	involves 
basset 	bassett 
alleged 	claimed 
relocate 	resettle 
coagulants 	thinners 
achieve 	obtain 
bmp 	mpg 
solidarity 	solidarność 
beetles 	insects 
intervenors 	stakeholders 
9.2 	9:2 
self-absorbed 	self-obsessed 
refuse 	refuses 
faggots 	homos 
1998-200 	1998-2002 
stain 	tache 
angler 	fisher 
fatal 	life-threatening 
relay 	rly 
redemption 	repurchase 
sewing 	stitching 
health 	medical 
app 	fpas 
cdc 	coc 
vienna 	vienne 
at 	during 
kassel 	münster 
scandinavian 	scandinavians 
promptly 	swiftly 
clf 	fcm 
harbinger 	omen 
hamid 	hamid - 
coils 	windings 
deliverers 	exécutants 
gain 	profit 
dietary 	nutritional 
month 	my 
tmb 	tmd 
mors 	rpms 
greek 	ελληνικές 
isolated 	remote 
cfs 	ope 
formations 	trainings 
affected 	afflicted 
two-floor 	two-storey 
browsing 	grazing 
resources 	ressources 
objected 	opposed 
caught 	trapped 
maxicab 	minibus 
metropolitain 	metropolitan 
admitted 	recognized 
edit 	edited 
awacs 	e-2c 
444 	444th 
chloramination 	chloramine 
al-gaddafi 	qaddafi 
argonne 	arjun 
bottom 	merits 
cowards 	oowards 
foggy 	hazy 
choukri 	shoukry 
agitation 	turmoil 
alleviated 	mitigated 
somalia 	somalie 
abdel-rahim 	abdelrahim 
latin 	latine 
deadlock 	standstill 
attenuate 	mitigate 
cfp 	rps 
delayed 	retarded 
ambassadeur 	ambassador 
sim 	yes 
caption 	title 
clustering 	grouping 
memorised 	memorized 
commits 	undertakes 
enlightening 	informative 
aidid 	idid 
cross 	crosses 
u.n. 	un 
also 	moreover 
dual-port 	dual-ported 
freeze 	frozen 
journal 	revue 
juvenile 	minor 
fragrances 	parfums 
beginning 	onset 
bmd 	lpp 
2573 	5657 
csi 	csl 
moll 	molly 
dealings 	transactions 
communitarised 	communitized 
achievement 	achieving 
zayd 	zeid 
cocksuckers 	motherfuckers 
conector 	connector 
bishop 	monsignor 
haitian 	haitienne 
instructor 	moniteur 
trolley 	trolleybus 
bullet-proof 	bulletproof 
replenishment 	resupply 
adpl 	hs 
compat 	compatibility 
broker 	dealer 
relaunch 	relaunching 
1,365 	1365 
enl 	nla 
jean 	john 
conciliatorists 	conciliators 
lower 	smaller 
collaborating 	collaboration 
dial 	dialup 
sudden 	surprise 
soleiman 	sulaiman 
shooting 	shootout 
prosperous 	wealthy 
covers 	includes 
74,900 	749 
csn 	nsa 
kiiled 	killed 
tender 	tenders 
obligates 	obliges 
incinerator 	incinerators 
militant 	militants 
butchers 	slaughterers 
traités 	treaties 
cement 	cements 
macaques 	monkeys 
substitutes 	surrogates 
1.5 	1.5 . 
eintracht 	recreativo 
vf 	viewfinder 
chenille 	velvet 
participation 	turnout 
ccbc 	ctab 
28.13 	28.5 
homemade 	self-made 
odysseus 	ulises 
before 	earlier 
over-burdened 	overburdened 
deliberation 	deliberations 
q4l 	quit4life 
under-nutrition 	undernourishment 
cmrs 	rmc 
pedagogical 	pédagogique 
egcc 	eggc 
trav 	travis 
rive 	shore 
disaggregated 	ventilated 
government-controlled 	government-held 
operation 	operational 
sub-titles 	subtitles 
hoisting 	lifting 
enhances 	strengthens 
50/155 	53/155 
persistence 	persistent 
laws 	legislations 
aerosol 	spray 
barlett 	bartlett 
business 	corporate 
circulation 	flow 
bulldozed 	razed 
function 	operate 
long-range 	long-term 
readings 	reads 
re-assignment 	reallocation 
progressive 	step-by-step 
exploit 	exploiting 
screwups 	wankers 
654 	654th 
mosaic 	tiling 
helpline 	hotline 
discloses 	unveils 
life-support 	life-sustaining 
re-assign 	reassign 
counsellors 	counselors 
82 	eighty-two 
auto 	automatically 
suspension 	suspensions 
blemish 	blot 
series 	suite 
18.05 	6.05 
al-hareeri 	hariri 
magali 	megalli 
.31 	0.31 
abdulrahman 	abdurrahman 
grass 	herbs 
non-attached 	non-registered 
nesting 	nestling 
doctor 	dr 
roo 	roos 
2244 	8344 
israeli-american 	israeli-us 
mayer 	mayers 
rebirth 	revival 
using 	utilizing 
'm 	` il 
menacing 	threatening 
sessions 	sittings 
incubator 	incubators 
proposals 	propositions 
step-parents 	stepparents 
barrier 	separating 
domestic 	household 
ipa 	ipas 
affected 	influenced 
minor 	underage 
human 	mankind 
cheol 	chol 
mep 	pem 
mann 	manni 
rearrange 	reorder 
enseignants 	teachers 
basin 	pond 
akim 	akin 
spoons 	teaspoons 
questionnaire 	quiz 
irreversible 	irreversibly 
mysterious 	shadowy 
turbulent 	unruly 
moc 	pmg 
close 	closing 
return 	statement 
media 	medium-sized 
distortion 	distortions 
self-control 	self-restraint 
gaelic 	gaelic-medium 
baptized 	christened 
bypassed 	circumvented 
pwgsc.gc.ca 	tsb.gc.ca 
kabila 	kapila 
kish 	quis 
auditing 	audits 
chiefly 	primarily 
re-activate 	reactivate 
astonishing 	staggering 
eliminating 	removing 
slowness 	sluggishness 
vegetables 	veggies 
1,200 	1.2 
re-export 	re-exported 
dropdown 	pulldown 
associated 	connected 
duan 	dusan 
advocated 	defended 
malay 	malayan 
moniteur 	monitor 
slave 	slavey 
option 	possibility 
flawed 	vitiated 
hqs 	qp 
adjust 	adjusted 
c. 3/51 	c. 3/53 
floor 	footwell 
belt 	safety-belt 
stabilising 	stabilizer 
cfib 	ecf 
emotions 	sentiments 
aerated 	uncluttered 
coexist 	coexistence 
home-based 	work-space-in-the-home 
legend 	legends 
cream 	creamer 
deadline 	time-limit 
messenger 	messengers 
delete 	deleting 
rider 	ryder 
remind 	reminds 
evidential 	evidentiary 
ashgabad 	ashkhabad 
semi-trailers 	tractor-trailers 
defogger 	mist 
called 	named 
cry 	mourn 
communications 	submissions 
11a 	11th 
dart 	eicc 
10-day 	ten-day 
abbreviated 	short-form 
ahmadi 	ahmadiyah 
lsp 	lsps 
academia 	academic 
interrogate 	interrogates 
jaffa 	jaffee 
tourist 	touristic 
17.30 h 	17:30 
campesina 	campesino 
fiduciary 	trustees 
137 	731 
eternal 	undying 
hyacinthe 	saint-hyacinthe 
hatch 	hatching 
amr 	ram 
intersection 	junction 
fmn 	mnc 
herdsmen 	pastors 
competence 	remit 
re-think 	rethink 
blush 	redness 
14.34 	14.34.2 
2000/235 	54/235 
coalmine 	colliery 
async 	out-of-sync 
peoples 	pueblos 
coordinate 	coordinated 
firmware 	fw 
dangerous 	harmful 
disconcerting 	puzzling 
innovate 	innovation 
palo 	stick 
departments 	sector 
sheri 	shiri 
organization 	organizing 
jusuf 	yussef 
nance 	nancy 
blocks 	tacos 
- ronnie 	ronnie 
careless 	reckless 
asi 	assi 
maturation 	maturity 
convicted 	doomed 
opinion 	opinions 
casings 	guts 
john 	juan 
tensión 	voltage 
sba 	soa 
princípe 	príncipe 
reconstitute 	replenish 
korea-u.s. 	korean-american 
susi 	wolf 
redevelopment 	renewal 
age-old 	ancient 
liberation 	tahrir 
jog 	jogging 
compels 	obliges 
nserc 	nserc-funded 
changer 	exchanger 
pentabde 	pentabromodiphenyl 
shipbuilders 	shipyards 
memorable 	momentous 
clashes 	tangles 
interconnection 	interconnectivity 
disrupted 	perturbed 
storm 	tempest 
rack-mountable 	rackmount 
approves 	oks 
seminar 	seminario 
sirius 	sirous 
aef 	aefrs 
commuters 	passengers 
non-refoulement 	non-return 
jaya 	jaye 
sahin 	shahine 
` ida 	qaeda 
` origine 	origin 
funds 	money 
gh 	wkh 
air-defense 	air-raid 
emerging 	new 
fortuna 	fortune 
harassed 	harassment 
littoral 	riparian 
fountains 	springs 
excludes 	preclude 
endemic 	rampant 
doorman 	porter 
pierres 	stones 
	α 
immutable 	unchangeable 
kindergarten 	maternal 
insurgency 	insurgent 
doubters 	sceptics 
re-examine 	revisit 
08.00 	08:00 
pilt 	vpilt 
low-income 	lowincome 
whole-of-government 	whole-ofgovernment 
ewa 	ewos 
bondage 	easement 
free-lance 	freelance 
chargé 	qaim 
hassan 	hassen 
cut-outs 	grooves 
batons 	sticks 
filter 	filtered 
gaafar 	jaffar 
ahsan 	ehsan 
groove 	notch 
criminalize 	incriminate 
2001/205 	2002/205 
echoes 	ecos 
epidemiological 	epizootiological 
sp-3 	sp3 
continued 	suite 
incontrovertible 	indisputable 
certificates 	certified 
djalal 	jalal 
shave 	shaving 
fake 	forged 
colonialism 	colonialist 
hedge 	hedging 
entrepreneurial 	entrepreneurship 
switch 	switching 
divisor 	splitter 
hydrocarbons 	petroleum 
interjection 	interruption 
detrimental 	negative 
cloud 	yun 
asic 	icss 
dep 	dvs 
idiot 	imbecile 
market-based 	market-oriented 
cmt 	tlc 
marketers 	traders 
2.59 	5.71 
faster 	swifter 
sabotage 	subversive 
abandon 	leave 
posterior 	subsequent 
religion 	worship 
` shell 	shell 
chronic 	chronicles 
hfc 	whc 
ndp 	nds 
ccp 	pcc 
arid 	drought 
phrasing 	wording 
oorah 	yay 
co-benefits 	perquisites 
al-golan 	golan 
fertilization 	fertilizer 
folly 	foolishness 
who 	whom 
hunter 	hunters 
kammergericht 	oberlandesgericht 
hasmy 	kuchynski 
joint 	spouses 
self-discipline 	self-disciplined 
bottoms 	footings 
passers-by 	pedestrians 
chiao 	qiao 
yousif 	youssouf 
indentations 	nicks 
lowered 	reduced 
above-ground 	aboveground 
acoustic 	audible 
echr 	ecthr 
athletes 	athlètes 
enterococci 	vancomycin-resistant 
pointe 	pointe-des-monts 
cadavers 	corpses 
al-malki 	maliki 
dissension 	dissent 
experienced 	seasoned 
irene 	un-ngo-irene 
decadence 	decay 
intensify 	strengthen 
alia 	other 
lamine 	lemine 
dishwasher 	diver 
minima 	minimum 
absolution 	acquittal 
field 	scope 
broadening 	enlargement 
well-off 	well-to-do 
48/94 	48/96 
counselor 	master 
crms 	rcm 
spermatozoa 	spermatozoon 
e.g. 	eg . 
acm 	mabs 
regard 	sense 
ghs 	sga 
before 	previously 
lift 	raise 
fertile 	fruitful 
cdic 	cmc 
case 	instances 
wp .2 	wp .2 . 
proposed 	proposes 
eia 	iee 
bison 	buffaloes 
1000 	thousand 
inoperable 	unserviceable 
al-saniora 	seniora 
fe 	pa 
compassionate 	sympathetic 
mello 	millo 
assessments 	valuations 
citr 	ctcri 
collation 	interleaving 
deposit 	depository 
crn 	nrf 
loaned 	seconded 
fsf 	ftf 
no 	none 
retroactive 	retroactively 
philanthropic 	philanthropy 
car 	motor 
extensive 	widespread 
fruitless 	futile 
bearded 	owl-clover 
efg 	egf 
mahmoudiya 	mohammedan 
gaps 	weaknesses 
covenant 	icescr 
trinidad 	trinity 
negotiable 	tradeable 
cta 	dec 
larson 	larsson 
indian-plantain 	plantains 
new 	nova 
fairs 	salons 
inter-korean 	north-south 
naser 	nasir 
drifter 	tramp 
knowledge-based 	knowledge-intensive 
aesha 	aicha 
us-chinese 	us-sino 
aer 	lde 
mfa 	ogds 
isolationism 	isolationist 
purse 	sac 
cmo 	cmos 
luna 	window 
package 	packages 
return 	returns 
kit 	kits 
co-educational 	mixed 
ming-che 	triet 
commas 	semicolons 
28kb 	29kb 
refinement 	refining 
marek 	marik 
531 	57/531 
` audace 	daring 
detected 	discovered 
chechnian 	chechnya 
control 	monitor 
dmv 	prefecture 
franco 	franko 
timeframes 	timelines 
cordial 	warm 
expanded 	expansion 
mui 	plum 
comprehensibility 	understandability 
expert 	specialist 
forcefully 	vigorously 
normalize 	standardise 
bloated 	hypertrophied 
pre-configured 	pre-packaged 
schedule 	schedules 
long 	long-term 
meager 	meager 
rok-china 	sino-rok 
under-utilised 	underused 
al-rantissi 	alrntisi 
' i 	í 
awareness-raising 	outreach 
vrscd 	vrscr 
schmucks 	turds 
- chandler 	chandler 
0230 	2:30 
session 	sessions 
ccis 	icc 
agrofuels 	biofuels 
co-chair 	co-chairing 
a-7 	c-7 
blubbering 	whining 
summer 	verano 
deeming 	presumption 
crawl 	slither 
loudspeaker 	speakerphone 
sax 	tenor 
patrol 	periodic 
small 	smaller 
over-use 	overuse 
